Name,Authors,Date,Keywords,Status
Investigating the roles of reflexes and central pattern generators in the control and modulation of human locomotion using a physiologically plausible neuromechanical model,"Andrea Di Russo*, Dimitar Stanev*, Anushree Sabnis, Simon M. Danner, Jessica Ausborn, Stephane Armand, Auke Ijspeert (* Denotes equal contributions)",,"Central Pattern Generators, Motor control, Neuromechanical modelling",Submitted (March ‘23) | Journal of Neural Engineering | https://doi.org/10.1101/2023.01.25.525432
Afferent Feedback impacts effort expenditure in Human Locomotion : A Neuromuscular modelling study,"Anushree Sabnis, https://www.epfl.ch/labs/biorob/people/dirusso/, https://pt.usc.edu/faculty/james-finley-phd/, https://people.epfl.ch/auke.ijspeert",,"Afferent Feedback, Effort Perception, Walking energetics",In Progress
